S.No,Computer Name,DNS Name,Operating System,Version
1,SIC_00_4349_00,SIC_00_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
2,SIC_00_4349_01,SIC_00_4349_01.scr2008.local,Windows 10 Pro,10.0 (19045)
3,SIC_00_4349_05,SIC_00_4349_05.scr2008.local,Windows 11 Pro,10.0 (22631)
4,SIC_00_4349_06,SIC_00_4349_06.scr2008.local,Windows 10 Pro,10.0 (19045)
5,SIC_00_4349_10,SIC_00_4349_10.scr2008.local,Windows 11 Pro,10.0 (26200)
6,SIC_00_4349_12,SIC_00_4349_12.scr2008.local,Windows 10 Pro,10.0 (19045)
7,SIC_00_4349_14,SIC_00_4349_14.scr2008.local,Windows 10 Pro,10.0 (19045)
8,SIC_00_4349_15,SIC_00_4349_15.scr2008.local,Windows 10 Pro,10.0 (19045)
9,SIC_00_4349_18,SIC_00_4349_18.scr2008.local,Windows 11 Pro,10.0 (26200)
10,SIC_00_4349_20,SIC_00_4349_20.scr2008.local,Windows 10 Pro,10.0 (19045)
11,SIC_00_4349_21,SIC_00_4349_21.scr2008.local,Windows 11 Pro,10.0 (26100)
12,SIC_01_4349_00,SIC_01_4349_00.scr2008.local,Windows 11 Pro,10.0 (26200)
13,SIC_01_4349_02,SIC_01_4349_02.scr2008.local,Windows 11 Pro,10.0 (26200)
14,SIC_01_4349_03,SIC_01_4349_03.scr2008.local,Windows 11 Pro,10.0 (26200)
15,SIC_01_4349_04,SIC_01_4349_04.scr2008.local,Windows 11 Pro,10.0 (26200)
16,SIC_01_4349_05,SIC_01_4349_05.scr2008.local,Windows 11 Pro,10.0 (26200)
17,SIC_01_4349_06,SIC_01_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
18,SIC_01_4349_08,SIC_01_4349_08.scr2008.local,Windows 11 Pro,10.0 (26200)
19,SIC_01_4349_09,SIC_01_4349_09.scr2008.local,Windows 11 Pro,10.0 (26100)
20,SIC_01_4349_10,SIC_01_4349_10.scr2008.local,Windows 10 Pro,10.0 (19045)
21,SIC_01_4349_12,SIC_01_4349_12.scr2008.local,Windows 11 Pro,10.0 (26100)
22,SIC_01_4349_13,SIC_01_4349_13.scr2008.local,Windows 10 Pro,10.0 (19045)
23,SIC_01_4349_17,SIC_01_4349_17.scr2008.local,Windows 10 Pro,10.0 (19045)
24,SIC_01_4349_18,SIC_01_4349_18.scr2008.local,Windows 10 Pro,10.0 (19045)
25,SIC_01_4349_19,SIC_01_4349_19.scr2008.local,Windows 11 Pro,10.0 (26200)
26,SIC_01_4349_21,SIC_01_4349_21.scr2008.local,Windows 11 Pro,10.0 (26200)
27,SIC_01_4349_97,SIC_01_4349_97.scr2008.local,Windows 10 Pro,10.0 (19045)
28,SIC_02_4349_00,sic_02_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
29,SIC_02_4349_01,SIC_02_4349_01.scr2008.local,Windows 10 Pro,10.0 (19045)
30,SIC_02_4349_03,SIC_02_4349_03.scr2008.local,Windows 10 Pro,10.0 (19045)
31,SIC_02_4349_04,SIC_02_4349_04.scr2008.local,Windows 10 Pro,10.0 (19045)
32,SIC_02_4349_06,SIC_02_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
33,SIC_02_4349_07,SIC_02_4349_07.scr2008.local,Windows 10 Pro,10.0 (19045)
34,SIC_02_4349_08,SIC_02_4349_08.scr2008.local,Windows 10 Pro,10.0 (19045)
35,SIC_02_4349_09,SIC_02_4349_09.scr2008.local,Windows 11 Pro,10.0 (26200)
36,SIC_02_4349_10,SIC_02_4349_10.scr2008.local,Windows 10 Pro,10.0 (19045)
37,SIC_02_4349_13,SIC_02_4349_13.scr2008.local,Windows 10 Pro,10.0 (19045)
38,SIC_02_4349_14,SIC_02_4349_14.scr2008.local,Windows 10 Pro,10.0 (19045)
39,SIC_02_4349_15,SIC_02_4349_15.scr2008.local,Windows 10 Pro,10.0 (19045)
40,SIC_02_4349_17,SIC_02_4349_17.scr2008.local,Windows 11 Pro,10.0 (26200)
41,SIC_02_4349_18,SIC_02_4349_18.scr2008.local,Windows 11 Pro,10.0 (26200)
42,SIC_02_4349_19,SIC_02_4349_19.scr2008.local,Windows 10 Pro,10.0 (19045)
43,SIC_02_4349_21,SIC_02_4349_21.scr2008.local,Windows 10 Pro,10.0 (19045)
44,SIC_02_4349_97,SIC_02_4349_97.scr2008.local,Windows 10 Pro,10.0 (19045)
45,SIC_03_4349_00,SIC_03_4349_00.scr2008.local,Windows 10 Pro,10.0 (19045)
46,SIC_03_4349_01,SIC_03_4349_01.scr2008.local,Windows 10 Pro,10.0 (19045)
47,SIC_03_4349_03,SIC_03_4349_03.scr2008.local,Windows 10 Pro,10.0 (19045)
48,SIC_03_4349_04,SIC_03_4349_04.scr2008.local,Windows 11 Pro,10.0 (26200)
49,SIC_03_4349_06,SIC_03_4349_06.scr2008.local,Windows 11 Pro,10.0 (26200)
50,SIC_03_4349_07,SIC_03_4349_07.scr2008.local,Windows 10 Pro,10.0 (19045)
51,SIC_03_4349_08,SIC_03_4349_08.scr2008.local,Windows 10 Pro,10.0 (19045)
52,SIC_03_4349_09,SIC_03_4349_09.scr2008.local,Windows 10 Pro,10.0 (19045)
53,SIC_03_4349_12,SIC_03_4349_12.scr2008.local,Windows 11 Pro,10.0 (26200)
