,Sicoob Central Rondon,,,,,,,,,,,
,,,,,,,,,,,,
"Gerada por Murilo Henrique Jorge Deodati - Admin  Criado em : Feb 18, 2026 08:23 AM",,,,,,,,,,,,
Total de registros : 202,,,,,,,,,,,,
Produto,Local,Fornecedor,Tipo de produto,Associado aos ativos,Nome do ativo,Estado do ativo,Custo de Compra,Departamento,Código de barras,Usuário,Término do empréstimo,ID
Latitude 5431,SICOOB BURITIS,-,Laptop,-,sic_00_4349_00.scr2008.local,In Store,-,-,-,-,-,813
OptiPlex 3060,SICOOB BURITIS,-,Desktop,-,sic_00_4349_01.scr2008.local,In Store,-,-,-,-,-,1882
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_00_4349_05.scr2008.local,In Store,-,-,-,-,-,2137
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_00_4349_06.scr2008.local,In Store,-,-,-,-,-,1757
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_00_4349_10.scr2008.local,In Store,-,-,-,-,-,1851
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_00_4349_14.scr2008.local,In Store,-,-,-,-,-,2125
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_00_4349_15.scr2008.local,In Store,-,-,-,-,-,1887
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_00_4349_18.scr2008.local,In Store,-,-,-,-,-,1868
Vostro 14-3468,SICOOB BURITIS,-,Laptop,-,sic_00_4349_20.scr2008.local,In Store,-,-,-,-,-,1857
Inspiron 3501,SICOOB BURITIS,-,Laptop,-,sic_00_4349_21.scr2008.local,In Store,-,-,-,-,-,1907
Alienware 16 Aurora AC16250,SICOOB BURITIS,-,Laptop,-,sic_01_4349_00.scr2008.local,In Store,-,-,-,-,-,829
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_01_4349_01.scr2008.local,In Store,-,-,-,-,-,1206
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_01_4349_02.scr2008.local,In Store,-,-,-,-,-,1865
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_01_4349_03.scr2008.local,In Store,-,-,-,-,-,1180
Dell Pro 14 PC14250,SICOOB BURITIS,-,Laptop,-,sic_01_4349_04.scr2008.local,In Store,-,-,-,-,-,1817
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_01_4349_05.scr2008.local,In Store,-,-,-,-,-,1849
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_01_4349_06.scr2008.local,In Store,-,-,-,-,-,912
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_01_4349_08.scr2008.local,In Store,-,-,-,-,-,901
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_01_4349_09.scr2008.local,In Store,-,-,-,-,-,2053
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_01_4349_10.scr2008.local,In Store,-,-,-,-,-,2056
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_01_4349_13.scr2008.local,In Store,-,-,-,-,-,2040
