Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
SIC_00_4349_00,345589e110cb464f99f3e421e719ac06,2026-02-02T13:14:24Z,2025-12-11T17:05:59Z,Windows,Windows 11,Workstation,192.168.28.24,189.75.104.70,a0-29-42-17-1d-17,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/SICOOB-CENTRAL-RONDON-2008,SensorGroupingTags/SICOOB-BURITIS-4349",catiae4349_00,"Protecao fase 3 - Global Windows
14 Jan 26 15:24 UTC","Windows - Estacoes - Global
14 Jan 26 15:29 UTC","platform_default
11 Dec 25 17:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
11 Dec 25 17:09 UTC"
SIC_00_4349_01,e8ba88a48a7f4b00b7ab9243164ae973,2026-02-02T12:58:18Z,2023-11-28T14:02:27Z,Windows,Windows 10,Workstation,10.14.46.54,138.118.3.62,d0-94-66-af-b0-07,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",pamelas4349_01,"Protecao fase 3 - Global Windows
14 Jan 26 12:13 UTC","Windows - Estacoes - Global
14 Jan 26 12:45 UTC","platform_default
17 Apr 25 12:19 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:50 UTC"
SIC_00_4349_05,b1435cfadb39477e94c538774442e0e8,2026-01-30T21:17:57Z,2025-01-23T16:32:49Z,Windows,Windows 11,Workstation,10.14.24.63,177.130.29.68,c8-4b-d6-0c-1c-2f,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",fabianoo4349_05,"Protecao fase 3 - Global Windows
14 Jan 26 12:51 UTC","Windows - Estacoes - Global
14 Jan 26 13:12 UTC","platform_default
17 Apr 25 00:21 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
23 Jan 25 18:55 UTC"
SIC_00_4349_06,14a229e1338c484e86b8f82b33ce62eb,2026-02-02T13:00:52Z,2024-01-25T20:33:57Z,Windows,Windows 10,Workstation,10.14.28.115,189.75.104.70,a4-bb-6d-7c-52-6f,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",lucasm4349_06,"Protecao fase 3 - Global Windows
22 Jan 26 11:51 UTC","Windows - Estacoes - Global
22 Jan 26 11:51 UTC","platform_default
17 Apr 25 11:58 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:36 UTC"
SIC_00_4349_10,09a0ff5a3d6b49d69b90c79cb0b799f1,2026-02-02T13:09:17Z,2023-11-01T19:00:57Z,Windows,Windows 11,Workstation,10.212.134.4,45.231.20.47,00-09-0f-aa-00-01,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",adriellys4349_10,"Protecao fase 3 - Global Windows
14 Jan 26 11:34 UTC","Windows - Estacoes - Global
14 Jan 26 11:36 UTC","platform_default
17 Apr 25 11:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
12 Aug 24 11:19 UTC"
SIC_00_4349_12,60fdaa0cefc54aa1b21428c1f0fc378b,2026-02-02T13:03:19Z,2025-01-03T15:24:35Z,Windows,Windows 10,Workstation,10.14.142.54,138.118.2.184,d0-94-66-ae-61-1b,7.25.19706.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",jonasj4349_12,"Protecao fase 3 - Global Windows
14 Jan 26 09:39 UTC","Windows - Estacoes - Global
Changes pending","platform_default
17 Apr 25 19:55 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
03 Jan 25 15:26 UTC"
SIC_00_4349_14,b61ebf8c6b6840a4b30a4224fa90bb27,2026-01-23T20:29:26Z,2025-07-09T17:11:20Z,Windows,Windows 10,Workstation,192.168.144.2,45.236.213.225,00-d7-6d-6e-aa-9b,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",kettye4349_14,"Protecao fase 3 - Global Windows
14 Jan 26 20:51 UTC","Windows - Estacoes - Global
15 Jan 26 14:36 UTC","platform_default
09 Jul 25 17:14 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
09 Jul 25 17:15 UTC"
SIC_00_4349_15,211c09a9afcf4657b51bece458e7a35f,2026-02-02T12:59:15Z,2023-12-04T15:14:46Z,Windows,Windows 10,Workstation,10.14.182.52,138.118.3.167,b4-45-06-43-6c-0c,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",geizac4349_16,"Protecao fase 3 - Global Windows
14 Jan 26 12:24 UTC","Windows - Estacoes - Global
14 Jan 26 12:41 UTC","platform_default
17 Apr 25 12:04 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:26 UTC"
SIC_00_4349_18,8a787fe374514f08aac480e0d40d226f,2026-02-02T13:16:56Z,2023-11-01T19:33:41Z,Windows,Windows 11,Workstation,10.14.192.50,177.23.184.152,6c-3c-8c-46-e9-b6,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",josimarp4349_13,"Protecao fase 3 - Global Windows
26 Jan 26 11:10 UTC","Windows - Estacoes - Global
26 Jan 26 14:00 UTC","platform_default
17 Apr 25 12:12 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
08 Aug 24 19:28 UTC"
SIC_00_4349_20,eed66e2a53bd4ca0af85d5d8274adafe,2026-02-02T13:14:10Z,2024-11-22T18:41:37Z,Windows,Windows 10,Workstation,10.14.190.51,45.6.108.67,d0-94-66-ad-96-1a,7.32.20403.0,Estacoes-4349,"SensorGroupingTags/CENTRAL-RONDON-2008,SensorGroupingTags/BURITIS-4349",gabrielag4349_20,"Protecao fase 3 - Global Windows
14 Jan 26 12:12 UTC","Windows - Estacoes - Global
14 Jan 26 12:22 UTC","platform_default
17 Apr 25 12:03 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
22 Nov 24 18:46 UTC"
